,id,comment,label_1,label_2
26,03c87f95-a0be-44fc-88b7-1eaef83844cc,把顾客当傻子了吧，这家店我经常买，现场买不是这个样子！因为是外卖顾客不能现场挑选，货物不满意也不能现场换，所以专门挑烂的给我是吧。西瓜大家看看钥匙放在现场你们会买么？还有蓝莓盒子上很多汁，还有一股酸臭味、坏的！好的蓝莓大家都知道是干燥的上面还有一层白白的东西，打开全是湿的。我买了两盒两盒都是这样。我晕，以后再也不在这家店买了。,0,1
136,1326a060-c520-4cb1-9086-2989a4554a48,奥尔良鸡翅上面还有毛，这是我吃的最差的一次鸡翅,1,0
262,2283ce7b-3d41-4c7a-a4d3-cb9747d6327d,说了辣一点辣一点 都不看的吗？不辣吃起很反胃 ,1,0
321,2895c0d5-5635-49a3-934c-53115e53b537,难吃这个词我只说一次，这家店外卖我只点一次，送来菜是温的，颜色像隔夜菜一样，口感也是，份量真的很迷你，我晓得一分价钱一分货，但是我差不多价格之前点的其他很多家都比你们份量好，主要味道也好，炸土豆都是软塌塌的了，肥肠不晓得啷个形容，反正应该不是特别新鲜，我这么懒的人都会花时间来写这么多字，是因为真的不好吃，谨代表个人观点，觉得好吃的多吃点！,1,0
345,2cee563e-cb21-4fc4-a921-23fd1c81c453,点了几次了，但这份田螺实在不敢吃。因为前几天才出了福寿螺的新闻，卖福寿螺这在外地是可以举报的。重庆不知道可不可以，田螺不是这个样子，这就是福寿螺，没炒熟的话吃了是会被感染的啊大哥。不知道福寿螺的可以去百度一下，还有分辨田螺和福寿螺的图片。还有你们送来的时候，我一直在说小声点，大半夜家里人都睡了，特别大的声音敲门和说话。。真的无语。,1,0
560,484a0fcb-edfa-4afd-ba4d-df4455123b83,菜品很不新鲜，感觉是前一天剩下的  位置好找把喜欢那里的汤圆还有洋芋饭,1,0
566,4929c760-01b7-4b21-9681-7fd51f3b7b0a,超级难吃，土豆是炸的，又来煮，一点都不新鲜，菜种类很少，感觉食材不新鲜。,1,0
573,4a5388d3-a03e-47e7-a32b-e5dd9fa49b0d,吃的时候只是不好吃，吃完晚上就开始不舒服，想要吐，第二天早上起来就直接开始拉稀,1,0
581,4bd15f39-e685-4888-8dc6-c94739669636,鸡块居然没熟…………不好吃全扔了#黄金鸡块#,1,0
601,4e271b82-5008-41e2-ae12-5ad123491c10,这个一吃就晓得是隔夜菜的味道，盐煎肉也是肥得明目张胆，白菜和藕都是生的，是给人吃的吗，我去,1,0
617,50cd2c03-3842-4c85-8079-aa5ddc66f6fb,死虾没敢吃，唯一好一点就是花甲洗干净了的,1,0
623,51955e1c-4644-41fa-b505-b86662f666d3,汤还不错，但是青椒炒玉米，玉米炒的太老了，特别难吃！还有麻辣鸡，鸡肉贴近骨头的部分都是生的！！还有血！！！！,1,0
749,61600f91-78a4-42d8-a8fe-483a7d3bac49,首先青椒没炒熟，其次，肉量很少，并且不像炒的，而像是煮的，一份小炒肉全是生的青椒，怎么吃啊,1,0
932,784ee9d3-34c0-4948-91db-5106b7476a61,西瓜品质太差#西瓜2.5kg/份##红萝卜500g#萝卜里面都康了  差评,1,0
981,7f0bec56-700a-4e23-a8dd-7b3c4ad73a4b,真难吃，真肥，恶心死我了,0,1
1017,838d7029-c077-4829-af04-70d958e2a9d4,很气愤，打开看居然没有筷子，应该是忘了放里面了，整顿饭不知道怎么吃，郁闷,0,1
1074,89e0f16b-dbbf-4d01-9763-e99a998e55e9,有好多坏了的，难吃，而且感觉分量不足,1,0
1129,92ac510f-b656-4c38-a245-52dab72ecb6b,难吃，分量少，一共就两块牛肉还那么贵，豆皮一股坏了的味道，素菜也没几样，坑死了，交大学生千万不要受骗,1,0
1211,9cb52e63-7248-4037-9e4e-928c87deca52,基本全是油，地沟油不要钱说,1,0
1300,a80b7e00-0820-41d7-970c-78e12d4d3a3d,东西很多，很好吃，上周末也来吃的，唯一就是水果不新鲜,1,0
1379,b2031cb9-bff3-40c8-b9b4-bb024d37239b,太失望了 味道不行 虾点都不新鲜  差评,1,0
1443,b8d51814-13d8-4795-833a-db77bcdca191,土豆很大一股药味，怕吃，面条送过来已经泥了,1,0
1564,c82dbb1d-f77b-4e4e-9ef9-8cb0731bac91,鱼不好吃，肯定是百分之百的是死鱼,1,0
1639,d0bd38ce-a65c-43ed-b64a-ece8737d367a,米饭里面有塑料带,1,0
1708,da62d99f-f2bd-4e9c-abaf-ec4e4455a170,分量少  还有虫  送得也慢,0,1
1819,e797bc3c-722f-453b-b9c2-30b2e120acc5,油都倒出来很多。土豆泥都有味了。,1,0
1820,e7df7ccc-081b-470c-bc79-d3f75c4e6014,没洗干净，虾肉也不好,1,0
1876,f0478627-60b4-4526-96e2-69f9ddef9897,没想到土豆泥变成了土豆丝,0,1
1886,f1c2028e-62e6-44db-86ef-a3e345bacdfa,不想说了！难吃#蚂蚁上树##红烧豆腐#,0,1
1933,f6a95607-a94e-40b6-8b79-1834a735cdd6,味道不好吃食材也不新鲜，而且点的根本就没有烤齐，年糕的影子都没看到,1,0
1944,f82f402f-64b3-4222-b071-e330518d98db,吃起来有股糊味。,0,1
1950,f9625fb2-ff6d-4470-b35f-91dc13f8b12a,菜品到没什么，炒饭很好吃，为什么肥肠吃着有股酸味?吃了几个都是.这是坏的吗,1,0
1953,fa274613-a617-4d55-860c-db19a3ff2462,菜品很不新鲜，藕像没洗过一样，藕片都干，豆腐很辣，分量又少，下次再也不会在这家吃了,1,0
